Unnamed: 0,State Code,County Code,Site Num,Address,State,County,City,Date Local,NO2 Units,NO2 Mean,NO2 1st Max Value,NO2 1st Max Hour,NO2 AQI,O3 Units,O3 Mean,O3 1st Max Value,O3 1st Max Hour,O3 AQI,SO2 Units,SO2 Mean,SO2 1st Max Value,SO2 1st Max Hour,SO2 AQI,CO Units,CO Mean,CO 1st Max Value,CO 1st Max Hour,CO AQI
,1,73,23,"NO. B'HAM,SOU R.R., 3009 28TH ST. NO.",Alabama,Jefferson,Birmingham,2015-01,Parts per billion,17.833333,30.0,18.0,28.0,Parts per million,0.013947,0.031,10.0,28.5,Parts per billion,0.15833350000000002,0.35,11.0,0.0,Parts per million,0.4537915,0.7095,9.0,7.0
,1,73,23,"NO. B'HAM,SOU R.R., 3009 28TH ST. NO.",Alabama,Jefferson,Birmingham,2015-03,Parts per billion,9.8238095,20.65,13.0,19.0,Parts per million,0.029824,0.043,10.0,40.0,Parts per billion,0.348611,0.8,10.0,0.5,Parts per million,0.2601515,0.37,7.0,4.0
,1,73,23,"NO. B'HAM,SOU R.R., 3009 28TH ST. NO.",Alabama,Jefferson,Birmingham,2015-04,Parts per billion,7.7975695,19.85,12.0,18.75,Parts per million,0.03500575,0.047,9.5,44.75,Parts per billion,0.18446975,0.5,8.75,1.0,Parts per million,0.22522725,0.325,8.0,3.0
,1,73,23,"NO. B'HAM,SOU R.R., 3009 28TH ST. NO.",Alabama,Jefferson,Birmingham,2015-05,Parts per billion,7.8155705,18.35,12.0,17.0,Parts per million,0.033962,0.048,9.0,44.0,Parts per billion,0.6034525000000001,1.25,8.5,4.5,Parts per million,0.2144,0.3,6.0,3.0
,1,73,23,"NO. B'HAM,SOU R.R., 3009 28TH ST. NO.",Alabama,Jefferson,Birmingham,2015-06,Parts per billion,8.305506000000001,17.55,12.75,16.25,Parts per million,0.030041750000000002,0.0445,9.0,42.25,Parts per billion,0.33404750000000005,0.95,10.0,1.5,Parts per million,0.22969699999999998,0.31675,6.5,3.0
,1,73,23,"NO. B'HAM,SOU R.R., 3009 28TH ST. NO.",Alabama,Jefferson,Birmingham,2015-07,Parts per billion,6.822619,16.95,12.0,15.5,Parts per million,0.0261175,0.036000000000000004,9.0,33.5,Parts per billion,0.2357145,0.7999999999999999,9.5,1.5,Parts per million,0.2187105,0.34700000000000003,6.0,3.5
,1,73,23,"NO. B'HAM,SOU R.R., 3009 28TH ST. NO.",Alabama,Jefferson,Birmingham,2015-08,Parts per billion,7.1526785,16.4,12.5,15.0,Parts per million,0.03175,0.048,9.0,45.0,Parts per billion,0.545238,1.3,9.5,2.0,Parts per million,0.22036950000000002,0.315,7.0,3.0
,1,73,23,"NO. B'HAM,SOU R.R., 3009 28TH ST. NO.",Alabama,Jefferson,Birmingham,2015-09,Parts per billion,8.8882125,19.5,12.5,18.25,Parts per million,0.027478749999999996,0.04375,9.5,41.5,Parts per billion,0.6032895,1.8,8.5,3.5,Parts per million,0.23819449999999998,0.36350000000000005,6.5,3.5
,1,73,23,"NO. B'HAM,SOU R.R., 3009 28TH ST. NO.",Alabama,Jefferson,Birmingham,2015-10,Parts per billion,10.4722585,26.4,19.0,24.5,Parts per million,0.022125,0.0405,9.5,38.0,Parts per billion,0.435,1.0,8.0,1.0,Parts per million,0.2720555,0.48,7.0,5.0
,1,73,23,"NO. B'HAM,SOU R.R., 3009 28TH ST. NO.",Alabama,Jefferson,Birmingham,2015-11,Parts per billion,10.86066,23.775,14.5,22.75,Parts per million,0.0219085,0.035500000000000004,9.0,32.75,Parts per billion,0.21746025,0.55,10.0,0.5,Parts per million,0.282055,0.5309999999999999,9.25,5.25
,1,73,23,"NO. B'HAM,SOU R.R., 3009 28TH ST. NO.",Alabama,Jefferson,Birmingham,2015-12,Parts per billion,14.352381,25.6,16.5,24.0,Parts per million,0.016857499999999997,0.028999999999999998,9.5,26.5,Parts per billion,0.3296535,0.7,9.5,0.5,Parts per million,0.330297,0.51,8.5,5.5
,2,90,34,809 Pioneer Road,Alaska,Fairbanks North Star ,Fairbanks,2015-01,Parts per billion,29.4616165,41.25,13.5,39.0,Parts per million,0.0036804999999999997,0.008,14.0,7.0,Parts per billion,12.25,16.349999999999998,12.25,23.5,Parts per million,0.7323505,1.4849999999999999,15.0,14.0
,2,90,34,809 Pioneer Road,Alaska,Fairbanks North Star ,Fairbanks,2015-02,Parts per billion,28.6839285,42.150000000000006,17.0,39.5,Parts per million,0.006271,0.009500000000000001,9.0,8.5,Parts per billion,13.78136,20.45,8.0,30.5,Parts per million,0.8605207500000001,1.4075,14.25,15.0
,2,90,34,809 Pioneer Road,Alaska,Fairbanks North Star ,Fairbanks,2015-03,Parts per billion,18.8791665,34.75,16.5,32.0,Parts per million,0.011125,0.0225,10.0,20.5,Parts per billion,6.474223749999999,10.799999999999999,7.5,15.5,Parts per million,0.43799375,0.7625,9.0,7.0
,2,90,34,809 Pioneer Road,Alaska,Fairbanks North Star ,Fairbanks,2015-04,Parts per billion,4.3041665,16.65,7.0,15.0,Parts per million,0.026562500000000003,0.033,10.0,31.0,Parts per billion,5.545697500000001,8.225,5.25,12.0,Parts per million,0.25684025,0.3425,7.75,3.0
,2,90,34,809 Pioneer Road,Alaska,Fairbanks North Star ,Fairbanks,2015-05,Parts per billion,4.668182,14.1,7.0,13.0,Parts per million,0.0285,0.04,12.0,37.0,Parts per billion,7.083333500000001,8.45,6.5,11.0,Parts per million,0.237292,0.315,7.0,3.0
,2,90,34,809 Pioneer Road,Alaska,Fairbanks North Star ,Fairbanks,2015-06,Parts per billion,3.8,8.6,6.0,8.0,Parts per million,0.024208,0.033,11.0,31.0,Parts per billion,1.5541665,3.0,11.0,4.0,Parts per million,0.2035415,0.24,7.5,2.0
,2,90,34,809 Pioneer Road,Alaska,Fairbanks North Star ,Fairbanks,2015-07,Parts per billion,3.504167,7.95,8.5,7.5,Parts per million,0.01475,0.022000000000000002,11.0,20.0,Parts per billion,3.2375,4.65,10.75,7.0,Parts per million,0.29000000000000004,0.3725,9.25,3.0
,2,90,34,809 Pioneer Road,Alaska,Fairbanks North Star ,Fairbanks,2015-08,Parts per billion,2.604167,7.1,18.0,7.0,Parts per million,0.014208000000000004,0.02,11.0,19.0,Parts per billion,3.0381985,3.65,12.5,6.0,Parts per million,0.151123,0.215,8.0,2.0
,2,90,34,809 Pioneer Road,Alaska,Fairbanks North Star ,Fairbanks,2015-09,Parts per billion,5.2083330000000005,11.8,19.0,10.0,Parts per million,0.009542,0.017,10.0,16.0,Parts per billion,2.476948,4.4,8.5,6.0,Parts per million,0.2327085,0.325,10.0,3.0
,2,90,34,809 Pioneer Road,Alaska,Fairbanks North Star ,Fairbanks,2015-10,Parts per billion,11.077273,20.3,10.0,19.0,Parts per million,0.0055,0.01,9.0,9.0,Parts per billion,4.0041665,8.45,7.5,13.0,Parts per million,0.388125,0.63,10.0,6.0
,2,90,34,809 Pioneer Road,Alaska,Fairbanks North Star ,Fairbanks,2015-11,Parts per billion,14.940909,25.9,15.0,24.0,Parts per million,0.006059,0.013000000000000001,7.0,12.0,Parts per billion,6.2104165,10.65,11.0,16.0,Parts per million,0.435308,0.815,15.0,8.0
,2,90,34,809 Pioneer Road,Alaska,Fairbanks North Star ,Fairbanks,2015-12,Parts per billion,21.445833,30.1,14.0,28.0,Parts per million,0.0017079999999999999,0.005,3.0,5.0,Parts per billion,11.925,18.9,7.5,29.0,Parts per million,0.658125,1.005,9.5,10.0
,4,13,3002,1645 E ROOSEVELT ST-CENTRAL PHOENIX STN,Arizona,Maricopa,Phoenix,2015-01,Parts per billion,16.395652499999994,28.8,18.0,26.5,Parts per million,0.012625,0.026000000000000002,10.0,24.0,Parts per billion,0.8522725,1.4,8.5,1.0,Parts per million,0.5125,0.7,7.0,8.0
,4,13,3002,1645 E ROOSEVELT ST-CENTRAL PHOENIX STN,Arizona,Maricopa,Phoenix,2015-02,Parts per billion,10.397825999999998,22.15,18.0,21.0,Parts per million,0.020229,0.0335,10.0,31.0,Parts per billion,0.68626875,1.25,10.0,1.0,Parts per million,0.43704699999999996,0.6,4.25,7.0
,4,13,3002,1645 E ROOSEVELT ST-CENTRAL PHOENIX STN,Arizona,Maricopa,Phoenix,2015-03,Parts per billion,9.208696,21.0,15.0,20.0,Parts per million,0.026667000000000003,0.043,10.0,40.0,Parts per billion,0.5541670000000001,1.2000000000000002,10.5,1.0,Parts per million,0.385145,0.55,4.0,6.0
,4,13,3002,1645 E ROOSEVELT ST-CENTRAL PHOENIX STN,Arizona,Maricopa,Phoenix,2015-04,Parts per billion,6.2719205,15.75,6.0,14.5,Parts per million,0.0350415,0.047,10.0,44.0,Parts per billion,0.43912324999999996,1.0,8.0,1.0,Parts per million,0.32601024999999995,0.42500000000000004,4.25,5.0
,4,13,3002,1645 E ROOSEVELT ST-CENTRAL PHOENIX STN,Arizona,Maricopa,Phoenix,2015-05,Parts per billion,3.8434779999999997,9.3,6.0,8.0,Parts per million,0.036625,0.045,10.0,42.0,Parts per billion,0.238182,0.75,8.0,0.5,Parts per million,0.2639585,0.3,0.5,3.0
,4,13,3002,1645 E ROOSEVELT ST-CENTRAL PHOENIX STN,Arizona,Maricopa,Phoenix,2015-06,Parts per billion,5.2630435,11.05,7.0,10.0,Parts per million,0.033771,0.046,10.0,43.0,Parts per billion,0.222538,0.575,8.25,0.5,Parts per million,0.3127715,0.4,1.25,5.0
,4,13,3002,1645 E ROOSEVELT ST-CENTRAL PHOENIX STN,Arizona,Maricopa,Phoenix,2015-07,Parts per billion,4.878623,12.45,6.5,11.5,Parts per million,0.026708500000000003,0.0395,10.0,37.0,Parts per billion,0.4916665,0.8500000000000001,10.0,0.5,Parts per million,0.24375,0.3,3.5,3.0
,4,13,3002,1645 E ROOSEVELT ST-CENTRAL PHOENIX STN,Arizona,Maricopa,Phoenix,2015-08,Parts per billion,6.5625,14.55,6.5,14.0,Parts per million,0.029771,0.042,10.0,39.0,Parts per billion,0.5914775,1.1,11.0,1.0,Parts per million,0.3,0.4,5.0,4.0
,4,13,3002,1645 E ROOSEVELT ST-CENTRAL PHOENIX STN,Arizona,Maricopa,Phoenix,2015-09,Parts per billion,8.325181,19.275,11.0,18.0,Parts per million,0.027364749999999997,0.041,10.0,38.0,Parts per billion,0.6780167500000001,1.375,11.0,1.0,Parts per million,0.304438,0.45,6.25,5.0
,4,13,3002,1645 E ROOSEVELT ST-CENTRAL PHOENIX STN,Arizona,Maricopa,Phoenix,2015-10,Parts per billion,9.66087,19.0,8.0,18.0,Parts per million,0.021896000000000002,0.038000000000000006,10.0,35.0,Parts per billion,0.6441560000000001,1.35,10.0,1.0,Parts per million,0.3895835,0.55,6.5,6.0
,4,13,3002,1645 E ROOSEVELT ST-CENTRAL PHOENIX STN,Arizona,Maricopa,Phoenix,2015-11,Parts per billion,12.3956525,27.2,18.0,25.0,Parts per million,0.0160835,0.03,9.0,28.0,Parts per billion,0.7340909999999999,1.3250000000000002,10.25,1.0,Parts per million,0.47744549999999997,0.7,7.0,8.0
,4,13,3002,1645 E ROOSEVELT ST-CENTRAL PHOENIX STN,Arizona,Maricopa,Phoenix,2015-12,Parts per billion,12.365217,26.5,18.0,25.0,Parts per million,0.015583000000000001,0.026000000000000002,9.0,24.0,Parts per billion,0.8625,1.35,10.5,1.0,Parts per million,0.46875,0.7,7.0,7.0
