Unnamed: 0,State Code,County Code,Site Num,Address,State,County,City,Date Local,NO2 Units,NO2 Mean,NO2 1st Max Value,NO2 1st Max Hour,NO2 AQI,O3 Units,O3 Mean,O3 1st Max Value,O3 1st Max Hour,O3 AQI,SO2 Units,SO2 Mean,SO2 1st Max Value,SO2 1st Max Hour,SO2 AQI,CO Units,CO Mean,CO 1st Max Value,CO 1st Max Hour,CO AQI
,4,13,3002,1645 E ROOSEVELT ST-CENTRAL PHOENIX STN,Arizona,Maricopa,Phoenix,2000-01-01,Parts per billion,15.5,26.5,11.5,25.0,Parts per million,0.017604500000000002,0.0285,13.5,24.5,Parts per billion,1.6296195,2.0,11.0,3.5,Parts per million,0.5966374999999999,1.3,6.0,12.0
,4,13,3002,1645 E ROOSEVELT ST-CENTRAL PHOENIX STN,Arizona,Maricopa,Phoenix,2000-01-02,Parts per billion,13.978260500000001,26.0,13.5,24.5,Parts per million,0.0159585,0.0305,10.0,26.0,Parts per billion,1.6861415,2.8,8.5,5.0,Parts per million,0.51875,0.9500000000000001,8.5,8.0
,4,13,3002,1645 E ROOSEVELT ST-CENTRAL PHOENIX STN,Arizona,Maricopa,Phoenix,2000-01-03,Parts per billion,24.521739,42.0,17.0,40.0,Parts per million,0.0079165,0.017,9.0,14.5,Parts per billion,2.721118,5.3,16.0,8.5,Parts per million,1.1098485,1.7999999999999998,9.5,18.0
,4,13,3002,1645 E ROOSEVELT ST-CENTRAL PHOENIX STN,Arizona,Maricopa,Phoenix,2000-01-04,Parts per billion,28.4255955,48.0,14.0,45.5,Parts per million,0.0085415,0.0165,10.5,14.0,Parts per billion,2.484091,5.8,14.0,9.0,Parts per million,1.0720239999999999,2.15,10.0,20.5
,4,13,3002,1645 E ROOSEVELT ST-CENTRAL PHOENIX STN,Arizona,Maricopa,Phoenix,2000-01-05,Parts per billion,20.80303,36.5,18.0,34.5,Parts per million,0.011375,0.0245,9.0,20.5,Parts per billion,1.5729165,2.6,9.0,5.0,Parts per million,0.8770835,1.9500000000000002,7.0,16.5
,4,13,3002,1645 E ROOSEVELT ST-CENTRAL PHOENIX STN,Arizona,Maricopa,Phoenix,2000-01-06,Parts per billion,27.530303000000004,39.5,12.5,37.5,Parts per million,0.0054164999999999994,0.012,9.0,10.0,Parts per billion,1.338988,2.0,8.0,3.5,Parts per million,1.0511365,1.95,8.0,19.0
,4,13,3002,1645 E ROOSEVELT ST-CENTRAL PHOENIX STN,Arizona,Maricopa,Phoenix,2000-01-07,Parts per billion,29.4488635,43.0,21.0,41.0,Parts per million,0.0091045,0.0225,9.0,19.0,Parts per billion,2.0797619999999997,5.5,14.5,9.0,Parts per million,1.19221,2.2,9.5,21.0
,4,13,3002,1645 E ROOSEVELT ST-CENTRAL PHOENIX STN,Arizona,Maricopa,Phoenix,2000-01-08,Parts per billion,22.7971015,35.5,1.0,33.5,Parts per million,0.0056875,0.0125,9.0,10.5,Parts per billion,1.9711180000000001,4.0,10.0,6.5,Parts per million,1.0458335,1.9,5.0,19.0
,4,13,3002,1645 E ROOSEVELT ST-CENTRAL PHOENIX STN,Arizona,Maricopa,Phoenix,2000-01-09,Parts per billion,18.9230075,35.0,19.5,33.0,Parts per million,0.0113955,0.022,10.0,19.0,Parts per billion,1.5545455000000001,3.0,14.5,5.0,Parts per million,0.8288949999999999,1.65,1.5,19.5
,4,13,3002,1645 E ROOSEVELT ST-CENTRAL PHOENIX STN,Arizona,Maricopa,Phoenix,2000-01-10,Parts per billion,16.4886365,30.0,9.0,28.0,Parts per million,0.0125625,0.0155,9.5,13.5,Parts per billion,1.5454545,2.5,13.0,3.5,Parts per million,0.589402,0.95,8.5,8.5
,4,13,3002,1645 E ROOSEVELT ST-CENTRAL PHOENIX STN,Arizona,Maricopa,Phoenix,2000-01-11,Parts per billion,15.765151499999998,27.0,21.5,25.0,Parts per million,0.0163125,0.023,12.5,19.5,Parts per billion,1.2977275000000001,2.0,13.5,3.0,Parts per million,0.49525700000000006,0.7,10.0,8.0
,4,13,3002,1645 E ROOSEVELT ST-CENTRAL PHOENIX STN,Arizona,Maricopa,Phoenix,2000-01-12,Parts per billion,25.988142,38.0,17.0,36.0,Parts per million,0.006333500000000001,0.014499999999999999,9.0,12.5,Parts per billion,2.2833335,5.5,13.5,12.0,Parts per million,1.0587119999999999,2.2,8.5,17.0
,4,13,3002,1645 E ROOSEVELT ST-CENTRAL PHOENIX STN,Arizona,Maricopa,Phoenix,2000-01-13,Parts per billion,24.232608499999998,39.0,19.5,37.0,Parts per million,0.0054375,0.0125,9.5,10.5,Parts per billion,2.3229165,4.0,11.0,6.5,Parts per million,1.35,2.9000000000000004,14.5,23.5
,4,13,3002,1645 E ROOSEVELT ST-CENTRAL PHOENIX STN,Arizona,Maricopa,Phoenix,2000-01-14,Parts per billion,22.164032,33.5,14.0,31.5,Parts per million,0.003646,0.009500000000000001,9.0,8.0,Parts per billion,2.504167,4.5,8.5,7.5,Parts per million,1.2230240000000001,2.45,9.5,20.5
